train_loss,val_loss
0.13225250584555423,0.13242344701713182
0.12640907088805375,0.12673668168237656
0.12090011854155122,0.12134779905835587
0.1159233076204914,0.11652988472300796
0.110920185260351,0.1116911517754053
0.10615465950286007,0.10703768339249406
0.10163559068524894,0.10262664679077259
0.097454226362326,0.09852477114177242
0.09328383437600359,0.09447056497065248
0.0895345412857335,0.0907596581570627
0.085793547090209,0.08709761093286993
0.08226222216615357,0.08366298913647338
0.07889598262143838,0.08037976475732064
0.07562174291147479,0.07718930625361074
0.07260239597860521,0.07430091511583342
0.06967224046080017,0.07145016509956999
0.06685039564840899,0.06865655810958188
0.06414577827885004,0.06599194795520892
0.06167285694864266,0.06359405873036464
0.05929227871222811,0.06130274846834032
0.05696008306836407,0.05905114015709424
0.05481071309905877,0.05698086881516921
0.05268206159689079,0.05492880642035352
0.05065802143205444,0.05300874709940107
0.04878077992028376,0.05123073824867647
0.0471482684620914,0.04969679538293637
0.04546637975176769,0.04811468667823551
0.04375317451180245,0.04646824553138246
0.042159265852119,0.0449001978023183
0.04065732317578777,0.0434420155074092
0.03925213044356782,0.04207970707507132
0.03787520518765591,0.04077644203524541
0.03645992581622443,0.03939959973904748
0.0352380642833638,0.03822585528185617
0.03406397419091826,0.03708118090159723
0.03294283024959277,0.03602033102519901
0.03180174696134047,0.03495274607807066
0.03079043587980024,0.03399917109821662
0.02978436512100522,0.03304972599584743
0.02878235789392393,0.03207917039965885
0.02789707085980928,0.03126476623899782
0.02700373133568018,0.03039842512631307
0.02613121236872304,0.0295936330078841
0.02533314605782314,0.02887416485460402
0.02458127619381723,0.02818340187378848
0.02384222692442432,0.02748709541017162
0.02319114278816217,0.026881310145188
0.02252455451427239,0.02628015456624667
0.02188257759489326,0.02568895156672174
0.02122831205072671,0.02507890315553139
0.02070123441233031,0.02457768663926262
0.02011134597111131,0.02403127055527513
0.01957166692046178,0.0235258629645879
0.01905008062557659,0.02306004092202381
0.01855434648535498,0.0225974960066272
0.01806151799863988,0.02213454787752804
0.01764706818098897,0.02174525666983847
0.01723801869936105,0.02137241371921911
0.01682016840862901,0.02100790882732071
0.01643450495868895,0.02066338577055817
0.01607310341898819,0.02034045107826353
0.01569503290688421,0.02000500854725336
0.0153719611971416,0.01971151897490066
0.01502782861984981,0.01940392918468684
0.01467570864586261,0.01910009065855003
0.01436878065515746,0.01881657835274789
0.01409473828322065,0.01858810415631832
0.01379173851931798,0.0183279796250489
0.01351025173044125,0.01807109858944095
0.01324596958309258,0.01782814281980846
0.01295535724943838,0.01755185028302527
0.01270850587763014,0.01733945911919639
0.01245549262811319,0.01712180095149653
0.01225454457738398,0.01693852239626428
0.01200175093443762,0.01670112486501728
0.01179164481931074,0.01651395970834335
0.01157730423763036,0.01632229250587979
0.01137906254349926,0.01615282022725909
0.01117621997478837,0.01596430642533401
0.01097824702815295,0.01577366040239666
0.01078634205885815,0.01559516658884913
0.01060741676371708,0.01542411228249054
0.01045329842064083,0.01528266092656478
0.01028734213266247,0.01513602264445821
