train_loss,val_accuracy,val_loss
1.931979109870063,0.322,0.7634734
1.3788487469355266,0.348,0.7634734
1.231329336060418,0.368,0.7634734
1.1724130312601726,0.4066666666666667,0.7634734
1.1248673298094012,0.4013333333333333,0.7634734
1.0431661155488756,0.402,0.7634734
1.0069672817654076,0.44733333333333336,0.7634734
0.9929054174423217,0.46266666666666667,0.7634734
0.9897670974731445,0.45466666666666666,0.7634734
0.960846990638309,0.4513333333333333,0.7634734
0.9260383495754666,0.4686666666666667,0.7634734
0.9177744907803006,0.4646666666666667,0.7634734
0.9098797765837775,0.484,0.7634734
0.8840891706678602,0.49733333333333335,0.7634734
0.878284260114034,0.4726666666666667,0.7634734
0.8772542068163554,0.48333333333333334,0.7634734
0.8813196555243598,0.494,0.7634734
0.8581614244249132,0.4786666666666667,0.7634734
0.8898020265367296,0.45866666666666667,0.7634734
0.8917045249938965,0.47333333333333333,0.7634734
0.8742982527414958,0.484,0.7634734
0.8611104823218452,0.4846666666666667,0.7634734
0.862136925485399,0.48333333333333334,0.7634734
0.8532023077011108,0.494,0.7634734
0.8350018286705017,0.49866666666666665,0.7634734
0.8391417929331462,0.48,0.7634734
0.826269816769494,0.5026666666666667,0.7634734
0.8326035364998712,0.482,0.7634734
0.8279152688450283,0.4886666666666667,0.7634734
0.826846727848053,0.4686666666666667,0.7634734
0.8274229214456347,0.49933333333333335,0.7634734
0.8256022926966349,0.49733333333333335,0.7634734
0.8190078734291925,0.51,0.7634734
0.8208153163062202,0.498,0.7634734
0.8141078854666816,0.5033333333333333,0.7634734
0.8098203945689731,0.504,0.7634734
0.8196191121207343,0.5086666666666667,0.7634734
0.8021790827645195,0.484,0.7634734
0.7896935657395256,0.48933333333333334,0.7634734
0.7879319293763902,0.494,0.7634734
0.7861203576723734,0.49733333333333335,0.7634734
0.7984896180364821,0.506,0.7634734
0.8070881333880955,0.5093333333333333,0.7634734
0.8039780832926432,0.49533333333333335,0.7634734
0.7982782491048177,0.49333333333333335,0.7634734
0.776437985473209,0.5053333333333333,0.7634734
0.787197188589308,0.504,0.7634734
0.7751842311753167,0.48733333333333334,0.7634734
0.7618369094000922,0.49466666666666664,0.7634734
0.7900507298045688,0.49,0.7634734
0.7582689119444953,0.49266666666666664,0.7634734
0.7760790774027506,0.49066666666666664,0.7634734
0.7758623758951823,0.5053333333333333,0.7634734
0.7797872871292962,0.49133333333333334,0.7634734
0.7743131993611653,0.5053333333333333,0.7634734
0.7733707530233596,0.494,0.7634734
0.7724289828936259,0.508,0.7634734
0.7481338229179383,0.5006666666666667,0.7634734
0.7553866908285353,0.496,0.7634734
0.7644681408670213,0.494,0.7634734
0.7499439828130934,0.5033333333333333,0.7634734
0.7482660751342773,0.496,0.7634734
0.7679657431708442,0.5066666666666667,0.7634734
0.7519610039922926,0.48733333333333334,0.7634734
0.7519823753568862,0.48933333333333334,0.7634734
0.7677181632253859,0.5013333333333333,0.7634734
0.762375799232059,0.502,0.7634734
0.7568806790245904,0.49133333333333334,0.7634734
0.7641772535112169,0.49666666666666665,0.7634734
0.7615712581740486,0.4866666666666667,0.7634734
0.7445043637487624,0.49266666666666664,0.7634734
0.7624781905280219,0.49333333333333335,0.7634734
0.7629157046741909,0.49133333333333334,0.7634734
0.7624350723690456,0.486,0.7634734
0.7400510481728447,0.4886666666666667,0.7634734
0.7399789100223118,0.482,0.7634734
0.7693505013783772,0.4786666666666667,0.7634734
0.7556686968273587,0.49,0.7634734
0.7687401161193848,0.49533333333333335,0.7634734
0.7479734440909491,0.492,0.7634734
0.7491924275292291,0.504,0.7634734
0.7647556586265564,0.488,0.7634734
0.7461358902189467,0.5013333333333333,0.7634734
0.7436628113852607,0.5053333333333333,0.7634734
0.7494674093988206,0.516,0.7634734
0.7554611849255032,0.5026666666666667,0.7634734
0.7361046375168694,0.5093333333333333,0.7634734
0.7427838811874391,0.498,0.7634734
0.7355863918728298,0.49333333333333335,0.7634734
0.7350629873805575,0.49933333333333335,0.7634734
0.7375131211280823,0.508,0.7634734
0.7422439685927497,0.488,0.7634734
0.7326380980279711,0.48533333333333334,0.7634734
0.7481600404845343,0.49,0.7634734
0.7572685706350538,0.49266666666666664,0.7634734
0.7505323204464383,0.49733333333333335,0.7634734
0.7492653689384462,0.49133333333333334,0.7634734
0.7492288206418355,0.498,0.7634734
0.7439739387830099,0.48533333333333334,0.7634734
0.7535268493228487,0.49066666666666664,0.7634734
0.7508085585170322,0.496,0.7634734
0.7326158875889248,0.492,0.7634734
0.7499377379947239,0.484,0.7634734
0.7351906008190578,0.49066666666666664,0.7634734
0.7395707663959926,0.48933333333333334,0.7634734
0.7293364358478123,0.4866666666666667,0.7634734
0.738437283568912,0.49066666666666664,0.7634734
0.7405944457583957,0.49866666666666665,0.7634734
0.7365555626021492,0.49333333333333335,0.7634734
0.736920078754425,0.486,0.7634734
0.7490108529196845,0.49266666666666664,0.7634734
0.7511012984381782,0.492,0.7634734
0.7398445242775811,0.49533333333333335,0.7634734
0.7417406808535258,0.4866666666666667,0.7634734
0.7413164030181038,0.49266666666666664,0.7634734
0.7273473944134182,0.49533333333333335,0.7634734
0.7377560656865438,0.5126666666666667,0.7634734
0.7313516557481555,0.496,0.7634734
0.7330999435318841,0.5053333333333333,0.7634734
0.7310157103008694,0.5126666666666667,0.7634734
0.7270574810769823,0.5033333333333333,0.7634734
0.7244327243698968,0.49666666666666665,0.7634734
0.7262282007005479,0.5093333333333333,0.7634734
0.7399829587406582,0.48933333333333334,0.7634734
0.7449574811723497,0.502,0.7634734
0.7369681099255879,0.5073333333333333,0.7634734
0.7414042432573107,0.5046666666666667,0.7634734
0.7355289939774408,0.49733333333333335,0.7634734
0.7517252787484063,0.49466666666666664,0.7634734
0.7499713678889804,0.48333333333333334,0.7634734
0.7241065856615704,0.49266666666666664,0.7634734
0.7455227193832399,0.498,0.7634734
0.7371995690663655,0.49266666666666664,0.7634734
0.7252937365637885,0.504,0.7634734
0.7510293986002605,0.5053333333333333,0.7634734
0.7445217988755968,0.5,0.7634734
0.7366161664856805,0.498,0.7634734
0.75326827149921,0.49666666666666665,0.7634734
0.7309404854244657,0.5146666666666667,0.7634734
0.7446739928987292,0.49466666666666664,0.7634734
0.7276434299680922,0.49533333333333335,0.7634734
0.7329340586132473,0.49066666666666664,0.7634734
0.7201942630343967,0.5006666666666667,0.7634734
0.7419162239498562,0.492,0.7634734
0.7364190184275309,0.486,0.7634734
0.7271005676057604,0.488,0.7634734
0.7174733482466804,0.494,0.7634734
0.7259641312493219,0.49733333333333335,0.7634734
0.7224387632475959,0.49866666666666665,0.7634734
0.7212176101472643,0.49066666666666664,0.7634734
0.7363205083211263,0.5013333333333333,0.7634734
0.7271418414115906,0.502,0.7634734
0.7322900292608473,0.4866666666666667,0.7634734
0.722309165848626,0.49666666666666665,0.7634734
0.7209095420837401,0.49,0.7634734
0.7273206287489997,0.49466666666666664,0.7634734
0.7225282232496474,0.4886666666666667,0.7634734
0.7179856600761414,0.48933333333333334,0.7634734
0.7104749443795946,0.49133333333333334,0.7634734
0.725079732577006,0.49333333333333335,0.7634734
0.7407924784024557,0.504,0.7634734
0.7290605938699511,0.49066666666666664,0.7634734
0.7192553629875184,0.492,0.7634734
0.7396812274720934,0.49866666666666665,0.7634734
0.751106395456526,0.49266666666666664,0.7634734
0.7292073310216268,0.49733333333333335,0.7634734
0.7253777649137709,0.4806666666666667,0.7634734
0.7249610968695747,0.49133333333333334,0.7634734
0.724554016802046,0.49333333333333335,0.7634734
0.7229167868296306,0.49133333333333334,0.7634734
0.721199967596266,0.49466666666666664,0.7634734
0.736133935822381,0.49066666666666664,0.7634734
0.7311515418688456,0.492,0.7634734
0.7439770433637831,0.5006666666666667,0.7634734
0.7200839845869277,0.5026666666666667,0.7634734
0.7290117971102397,0.5,0.7634734
0.7350224676662022,0.5013333333333333,0.7634734
0.7378362568749322,0.5026666666666667,0.7634734
0.732092642572191,0.506,0.7634734
0.7200097284846836,0.502,0.7634734
0.7234442587958443,0.498,0.7634734
0.7401711547109815,0.498,0.7634734
0.7248892069392734,0.498,0.7634734
0.7415797190136381,0.49333333333333335,0.7634734
0.727460926691691,0.5113333333333333,0.7634734
