train_loss,val_loss,val_mae,val_r2
0.7346398731072744,0.5976741143635341,0.050413717,-6.657587051391602
0.4950001703368293,0.4053839445114136,0.041639123,-4.57417106628418
0.3355149312151803,0.2879733954157148,0.034566782,-3.001466751098633
0.2314701485964987,0.19568621686526708,0.027918551,-1.7273892164230347
0.16962145600054,0.1281729138323239,0.021795135,-0.7393763661384583
0.1328655228846603,0.09334051396165575,0.017961115,-0.21919958293437958
0.11365463998582628,0.07600862852164678,0.01579921,0.02019302360713482
0.10467541466156642,0.06864460131951741,0.014890147,0.12101907283067703
0.09843730595376757,0.06395421336804118,0.01421783,0.18321020901203156
0.09447324814067946,0.061504288975681574,0.013924155,0.21744948625564575
0.09108009065190951,0.0587056502699852,0.013421932,0.25055164098739624
0.08693557729323705,0.057635598949023654,0.013158765,0.2637677490711212
0.08662331394023365,0.05725028046539852,0.013118652,0.26886633038520813
0.08594116568565369,0.057290141603776386,0.013103124,0.27159592509269714
0.08153916895389557,0.056023417838982174,0.012913983,0.2845003306865692
0.08220429056220585,0.05471987011177199,0.012612844,0.29633378982543945
0.08037407365110186,0.05465067923069,0.01264022,0.29744771122932434
0.07930593192577362,0.05409047220434461,0.012502825,0.3020068407058716
0.07971568778157234,0.05343306064605713,0.01234693,0.3104252219200134
0.07845004482401742,0.05341360132609095,0.012366388,0.3100893795490265
0.0768243856728077,0.05271436433706965,0.012222852,0.3149574100971222
0.07603329047560692,0.05318674551589148,0.012319448,0.3107408285140991
0.07523585814568731,0.052660481206008365,0.012191073,0.3161419928073883
0.07580298806230228,0.051686905324459076,0.011948279,0.32833483815193176
0.0750703981353177,0.05179939206157412,0.012003174,0.32772549986839294
0.0728265390627914,0.051857748734099526,0.012092082,0.32437899708747864
0.07253341107732719,0.0514274425804615,0.011917095,0.3311915099620819
0.07251290356119473,0.0512624303145068,0.011941925,0.3320072591304779
0.07089128428035313,0.051168598766837804,0.011892492,0.33286815881729126
0.07178373738295502,0.05138037034443447,0.011999285,0.33154401183128357
0.07002157986991936,0.05036196219069617,0.011633452,0.3398596942424774
0.06969928472406334,0.05025474673935345,0.011696939,0.3417228162288666
0.07040837303631836,0.05008336582354137,0.011748467,0.34470611810684204
0.0712479663391908,0.049862251217876165,0.011681642,0.34557220339775085
0.06918952821029557,0.04969057121447155,0.011628421,0.3475238084793091
0.06833913487692674,0.049899640892233164,0.01169005,0.34680527448654175
0.06943731506665547,0.04940408202154296,0.011506739,0.34852519631385803
0.06804689847760731,0.049245873732226234,0.011451928,0.3494105041027069
0.06622575947807895,0.048955783780132024,0.011447603,0.3533020615577698
0.06625722183121575,0.04882418896470751,0.011402679,0.35564571619033813
0.06650879730780919,0.04880784451961517,0.011428753,0.3577066957950592
0.0658895056694746,0.04833005315491131,0.011342068,0.3613984286785126
0.0658967989600367,0.04843343049287796,0.011332148,0.3564620018005371
0.06516277334756321,0.04839968255587986,0.011383116,0.3582819700241089
0.06545776315033436,0.04841070515768869,0.011349243,0.3580697774887085
0.0651996046718624,0.04823637381196022,0.011328368,0.3624016046524048
0.06665476908286412,0.04796538714851652,0.011279157,0.3664717376232147
0.06619436335232523,0.048077689217669625,0.01131447,0.366808146238327
0.06507347172333135,0.04795927022184644,0.011226235,0.36750203371047974
0.06654595997598436,0.047919340431690216,0.011223166,0.3666613698005676
0.06448362829784553,0.047737077410732,0.011238429,0.36952346563339233
0.06550400290224287,0.04802222124167851,0.0113418335,0.37129533290863037
0.06315355706546041,0.04689793341926166,0.010965313,0.37608516216278076
0.06399537581536505,0.047199523342507224,0.011069381,0.3731929063796997
0.06343740079965857,0.046912889927625656,0.011037793,0.3757479786872864
0.06391895210577382,0.047015846839972904,0.0110868225,0.37640148401260376
0.06310703129404122,0.046744782477617264,0.010966067,0.37609514594078064
0.06310043939285809,0.04744085456643786,0.011227926,0.3756091892719269
0.06428009023269017,0.04667119202869279,0.010937258,0.3785456418991089
0.0636174093104071,0.04676936300737517,0.011027209,0.3807705044746399
0.061148002122839294,0.04668673287544932,0.010970425,0.37915676832199097
0.0628295141375727,0.04670031900916781,0.011009818,0.37904566526412964
0.06207019380397267,0.04662308416196278,0.0110114785,0.3780016303062439
0.06170256187518438,0.04624170969639506,0.010926445,0.3840480446815491
0.06297553351355924,0.0464774024273668,0.0109192785,0.38186752796173096
0.0625941055930323,0.04612394954477038,0.010925901,0.38720956444740295
0.06132249492737982,0.04597989363329751,0.010891039,0.39047980308532715
0.061761924169129796,0.04619821320687022,0.011015571,0.39107152819633484
0.060883213869399495,0.04633598934326853,0.011007876,0.38437768816947937
0.060496585029694766,0.046358294785022736,0.010950013,0.3851921260356903
0.0628464168144597,0.04602512876902308,0.010856846,0.39108583331108093
0.06179029018514686,0.04622052077736173,0.011062918,0.39032167196273804
0.062317913191186056,0.045840042510202954,0.01092964,0.3916293978691101
0.06066569478975402,0.04557918757200241,0.010762027,0.389119952917099
0.060831817901796766,0.04598984441586903,0.010989958,0.39114248752593994
0.05948508365286721,0.046385266951152256,0.011097535,0.3874492347240448
0.06102834807501899,0.045544268297297616,0.010798974,0.3965286612510681
0.061099665239453316,0.04572677771959986,0.010895357,0.39487791061401367
0.06099430926971965,0.04573172809822219,0.010889,0.3935985565185547
0.06241571716964245,0.0454530550965241,0.010844551,0.39772534370422363
0.059578541252348155,0.045141705977065225,0.010740327,0.3985598385334015
0.060096929056776896,0.04569485570703234,0.01094092,0.3939169943332672
0.05931252034174071,0.045204811330352514,0.010737643,0.3994937539100647
0.06010486765040292,0.04502025033746447,0.010669926,0.40277236700057983
0.059283281159069806,0.04501029370086534,0.010658045,0.40284422039985657
0.0589266802287764,0.045091665749038966,0.010777484,0.4020719528198242
0.05977242709034019,0.0449413497533117,0.010709515,0.40240731835365295
0.059889097387591995,0.044952010469777245,0.0107590845,0.40432339906692505
0.05931339061094655,0.04456094599195889,0.010648752,0.4071579575538635
0.05834581847820017,0.04485538761530604,0.010713647,0.40783950686454773
0.058300965983006686,0.045226371714047024,0.010889971,0.40376153588294983
0.05857003107666969,0.044386137809072225,0.010605369,0.40887191891670227
0.05779891895751158,0.04458456752555711,0.010665207,0.40873703360557556
0.058247667426864304,0.04450900214059012,0.010629601,0.40887224674224854
0.05896370257768366,0.0447683185338974,0.010738202,0.40680915117263794
0.0576644672287835,0.0447027821625982,0.010626304,0.4098307490348816
0.05895932391285896,0.04443103128245899,0.010630945,0.4062264859676361
0.05818698575927152,0.04464698316795485,0.010665239,0.40435951948165894
0.05901730205449793,0.044735848903656006,0.010676309,0.4066736698150635
0.05986876164873441,0.04487983988864081,0.01080531,0.40860021114349365
0.05751511289013757,0.0442327723971435,0.0105676735,0.41337820887565613
0.05526995182865196,0.044401616390262334,0.010597325,0.41333308815956116
0.057820551925235324,0.04432363382407597,0.010664949,0.4146902859210968
0.05762473204069667,0.04459905784044947,0.01064109,0.4098121225833893
0.058350854449801974,0.0441226027905941,0.010552604,0.41506868600845337
0.05781900179055002,0.044269583587135584,0.010654248,0.4113454520702362
0.057632853380507894,0.04454195446201733,0.010699937,0.41178640723228455
0.05790269995729128,0.044057304305689673,0.01049498,0.41350361704826355
0.05731099098920822,0.04436577803322247,0.010613337,0.41562309861183167
0.05633784499433306,0.044322334229946136,0.010656212,0.41509008407592773
0.05697366326219506,0.043963181121008735,0.010558835,0.41692477464675903
0.057915713638067245,0.0444298508976187,0.010662111,0.41044819355010986
0.05640690277020136,0.043869756162166595,0.010536096,0.41936224699020386
0.05652901012864378,0.04416241922548839,0.010640049,0.4150491952896118
0.05710461921989918,0.04387924979840006,0.010637311,0.41820648312568665
0.05600753674904505,0.04384978062340191,0.010557319,0.41546550393104553
0.055152772201432124,0.04377294917191778,0.010568718,0.4204825758934021
0.05676019647055202,0.04356187901326588,0.010456461,0.42256417870521545
0.05605158023536205,0.043610110346760066,0.010461164,0.41983434557914734
0.05521928146481514,0.04405473066227777,0.010610403,0.41776376962661743
0.0558819735629691,0.04328326668058123,0.010400782,0.4227110743522644
0.05510009659661187,0.04359435449753489,0.010488742,0.41861414909362793
0.0570571803384357,0.04346526467374393,0.010552495,0.42391327023506165
0.05693606494201554,0.04302254053098815,0.010361865,0.42407476902008057
0.05724608070320553,0.0433470718562603,0.010383373,0.4264411926269531
0.05675772225691213,0.043577595480850766,0.010479473,0.4239838123321533
0.05657839381860362,0.043231237679719925,0.010370458,0.4247318208217621
